epoch,split,d_real_loss,d_fake_loss,d_loss,vqvae_loss,rec_loss,commitment_loss,codebook_loss,adversarial_loss,lpips_loss
0,train,0.0,0.0,0.0,0.08489932119140065,0.03982221022184415,0.003225255982101928,0.003225255982101928,0.0,0.04120680391457928
0,val,0.0,0.0,0.0,0.04331687760267047,0.01901942545534353,0.0030420181768802176,0.0030420181768802176,0.0,0.02064703044044518
1,train,0.6918213648590157,0.6915678616384748,0.6916946130073816,0.3224763647004363,0.020591738874376098,0.0033810121448981396,0.0033810121448981396,0.5490048734204781,0.023324974534710118
1,val,0.7681846543963464,0.6192433009569411,0.693713977383748,0.4240782113713774,0.015525713883322053,0.003229970824378444,0.003229970824378444,0.775605040993678,0.01687401191146097
2,train,0.6921376115849434,0.6922511217012993,0.6921943669324192,0.38017862044804834,0.013440902396159632,0.0030529024960899947,0.0030529024960899947,0.69695431964994,0.014597075443528968
2,val,0.926776800387028,0.5262650121781394,0.7265209056235649,0.49313181225,0.011949399536525872,0.0029664652825948687,0.0029664652825948687,0.9296187020344,0.012813304091005128
3,train,0.6923650552339424,0.6924866582742294,0.6924258570072254,0.3770310551529314,0.011988278424634886,0.0029777988151773057,0.0029777988151773057,0.6965198302674003,0.013209502752384387
3,val,0.7449470584896335,0.6427227780039836,0.6938349181369724,0.3990593182074057,0.01047398847314993,0.002861536135988568,0.002861536135988568,0.7485872746539056,0.01085784896940488
4,train,0.6926635451062251,0.6927586084484014,0.6927110769310042,0.371196354021347,0.009633844538867082,0.0027547154047135335,0.0027547154047135335,0.6958542622385101,0.010329719830485768
4,val,0.7652657835284385,0.6412958156418155,0.7032807993654542,0.4318636997765349,0.020674517229474023,0.0033952359451067974,0.0033952359451067974,0.7561421163691356,0.029043841031574515
5,train,0.6926395629744391,0.6925487366609319,0.6925941496865994,0.37162215094835455,0.009597097276377295,0.0027293268111660864,0.0027293268111660864,0.6961932592122196,0.010653231708265388
5,val,0.6629567091382987,0.7211095014133967,0.6920331053856837,0.35388463633066347,0.008418979591184296,0.0026997807504339213,0.0026997807504339213,0.6665450341139144,0.008953402767356036
6,train,0.6928994656513197,0.6929053569642819,0.6929024113936887,0.3668697200242039,0.007856961500747765,0.002543152335575072,0.002543152335575072,0.695257757360252,0.008332097010064581
6,val,0.6930863007134237,0.6910622411336595,0.6920742711066018,0.3673143714153795,0.007731447855001475,0.0025228426622396142,0.0025228426622396142,0.6957498839358439,0.008680570244798274
7,train,0.6927713566008677,0.6927162305585117,0.6927437938961115,0.36790089444598517,0.007995236067130446,0.002769351151404438,0.002769351151404438,0.6955609125503709,0.008801980600895
7,val,0.6402204449698151,0.7463524694524756,0.6932864568450235,0.33985399808139716,0.007304686986033502,0.0025588040419165497,0.0025588040419165497,0.6430317542037451,0.007962869083810907
8,train,0.6929238214670693,0.6929008898072547,0.692912355777295,0.3645388929883305,0.006857014506094459,0.002477436008292894,0.002477436008292894,0.6949914553793589,0.007213227467975321
8,val,0.771930508736604,0.6251782464453872,0.6985543772248729,0.40381304337585805,0.006714370806474945,0.002430596606833379,0.002430596606833379,0.7734350852064191,0.0074644141792747625
9,train,0.6929741827360019,0.692916198400959,0.692945190514234,0.3634309701053096,0.006410676545002864,0.002365313908867804,0.002365313908867804,0.6948497148198722,0.006757059314860454
9,val,0.7040412075982339,0.6808177722613418,0.6924294895270531,0.36992778275756966,0.0067598072077429084,0.0024438756320703334,0.0024438756320703334,0.7062079782714421,0.007131336190502091
