epoch,split,loss
0,train,0.07555032218244914
0,val,0.0498093949260158
1,train,0.04451198930437223
1,val,0.04212607051696652
2,train,0.03901233594636029
2,val,0.03774990683366578
3,train,0.03596965409497484
3,val,0.03439192596310413
4,train,0.03398232125179498
4,val,0.0341018138496841
5,train,0.032550914318582105
5,val,0.03238606667409233
6,train,0.03168033630596067
6,val,0.031213919025175323
7,train,0.030597048539902198
7,val,0.029541283080763914
8,train,0.029697519499270707
8,val,0.02965486974281508
9,train,0.028906873069097814
9,val,0.028102149430053736
