epoch,split,loss
0,train,0.07469992858767235
0,val,0.05071906611913727
1,train,0.044636710949994406
1,val,0.04220585698257273
2,train,0.03921573940197244
2,val,0.037565686909312564
3,train,0.03619377431625703
3,val,0.034590779404391585
4,train,0.034378502764930506
4,val,0.03479496247640815
5,train,0.03307735773791404
5,val,0.03294364071487737
6,train,0.03230071243582536
6,val,0.032029658234483706
7,train,0.03103946148847744
7,val,0.03052646644712088
8,train,0.030186201397518243
8,val,0.030498660632342828
9,train,0.02957270824764731
9,val,0.028858643503406542
