epoch,split,loss
45,train,0.1557503517863948
45,val,0.1560671020713117
46,train,0.15302776476653437
46,val,0.15471780611960975
47,train,0.15621818120290012
47,val,0.15032715546312156
48,train,0.15359451201608668
48,val,0.16483732152868197
49,train,0.15398526923794156
49,val,0.1573053273889754
50,train,0.15584345677514108
50,val,0.15852734079515493
51,train,0.15612516452163097
51,val,0.15563642995225055
52,train,0.15582626416090953
52,val,0.153635925937582
53,train,0.15619371043164787
53,val,0.15880648808346853
54,train,0.15314862702731583
54,val,0.15187171449263892
55,train,0.15337200135873547
55,val,0.15100354359105778
56,train,0.1535183633331937
56,val,0.15243714509738823
57,train,0.1535835622525563
57,val,0.15882920029538652
58,train,0.1494326563799577
58,val,0.1554405236133823
59,train,0.15399748439269736
59,val,0.15278942833344134
60,train,0.15505022525200018
60,val,0.1571311783390464
61,train,0.1545843515155868
61,val,0.14886921398617609
62,train,0.15098379624753136
62,val,0.15956702218563465
63,train,0.15357674675371327
63,val,0.14867551111512706
64,train,0.1513835938184714
64,val,0.15129937510247582
65,train,0.15151978254755305
65,val,0.1522983097919712
66,train,0.15267545760265214
66,val,0.14902181948224702
67,train,0.15403017436182362
67,val,0.15217601011196769
68,train,0.1531821823124897
68,val,0.15682408180501733
69,train,0.1515477209409147
69,val,0.15059563575519463
70,train,0.15287628617243545
70,val,0.14989375433436153
71,train,0.154120145964852
71,val,0.14887558826141883
72,train,0.15155302789352504
72,val,0.15064395445364487
73,train,0.15463273129387545
73,val,0.1550314196695884
74,train,0.15124174045769317
74,val,0.1631585228222388
75,train,0.15012366621559575
75,val,0.14764609612800467
76,train,0.15359927488509706
76,val,0.15003260202981808
77,train,0.15043537440947902
77,val,0.15630963582683494
78,train,0.14832346680156705
78,val,0.15275461295688597
79,train,0.15195215214812133
79,val,0.15358750182721345
80,train,0.15059962861519907
80,val,0.15653828181050444
81,train,0.15019751527439695
81,val,0.1458019815799262
82,train,0.1541743607257724
82,val,0.15784978300884914
83,train,0.15267655081316306
83,val,0.1508249476827957
84,train,0.15049393130355387
84,val,0.15089921686384417
85,train,0.15066162470513061
85,val,0.15487873065802785
86,train,0.15072391484373196
86,val,0.15242061755723424
87,train,0.15245449411367779
87,val,0.1518528136390227
88,train,0.15319572081644256
88,val,0.152036030024842
89,train,0.15280714360647069
89,val,0.15159737122831524
90,train,0.15086981463634477
90,val,0.16304016204343907
91,train,0.1497153822114087
91,val,0.1478706788133693
92,train,0.15193063727521114
92,val,0.15367303068439156
93,train,0.1486108396390126
93,val,0.15190605708846336
94,train,0.14988174913305952
94,val,0.1613776469120273
95,train,0.15111516929964866
95,val,0.15381355709223837
96,train,0.14933983619665492
96,val,0.15512587701280908
97,train,0.15180854579411585
97,val,0.15664104452287703
98,train,0.15142866016957168
98,val,0.1475561086157406
99,train,0.14858104010803197
99,val,0.14645573433350637
100,train,0.14883030256159163
100,val,0.15809173879248126
101,train,0.15050111372129696
101,val,0.15136662455344646
102,train,0.150081796841363
102,val,0.15558483070797385
103,train,0.1490862754734419
103,val,0.14903627526428959
104,train,0.14693434711794975
104,val,0.1564085487690237
105,train,0.1498358568721252
105,val,0.14009679310299736
106,train,0.14761272309250645
106,val,0.15456138542956777
107,train,0.14740158515742469
107,val,0.1530592278749855
108,train,0.14791939117349012
108,val,0.15453618778674688
109,train,0.14616897558634656
109,val,0.15393300831869802
110,train,0.15102272232658082
110,val,0.14560431109534377
111,train,0.1459644071750965
111,val,0.1530230650471316
112,train,0.14662601582630888
112,val,0.16145577668039887
113,train,0.14832455490559585
113,val,0.15265972280391946
114,train,0.1481432622532495
114,val,0.1499780252299927
115,train,0.14791418035283324
115,val,0.14998667982441408
116,train,0.1478377320930895
116,val,0.1514803425995289
117,train,0.1503746152687291
117,val,0.15616383229692773
118,train,0.14704511303703904
118,val,0.1511664951289141
119,train,0.145285899135413
119,val,0.1493677402536074
120,train,0.14749310300006793
120,val,0.15912787881162432
121,train,0.14572872845140142
121,val,0.15215374841182316
122,train,0.15109669652064942
122,val,0.13782291724174112
123,train,0.1487526189959263
123,val,0.15501018552868462
124,train,0.14695910378901333
124,val,0.14691343321292488
125,train,0.1478689470414609
125,val,0.1498190940530212
126,train,0.14764421001780106
126,val,0.15163864578913772
127,train,0.14992967148086978
127,val,0.15746932890680104
128,train,0.1477427087565432
128,val,0.15419302486159184
129,train,0.14421151397795895
129,val,0.15534767122180376
130,train,0.14535603259957283
130,val,0.14394217657822148
131,train,0.1453670110625209
131,val,0.15458157595109054
132,train,0.14789753320680696
132,val,0.14463926592358833
133,train,0.14732823597726497
133,val,0.14439301327974705
134,train,0.14787220967870354
134,val,0.149855516575001
135,train,0.14608351596034422
135,val,0.15223321282753244
136,train,0.14740654956259175
136,val,0.15316636565106895
137,train,0.14757056861917828
137,val,0.1571223933663633
138,train,0.14485230833107646
138,val,0.1514436194190273
139,train,0.14630709893106875
139,val,0.14941318987144359
140,train,0.14504911655630157
140,val,0.1520501382924892
141,train,0.14640523600336572
141,val,0.15172292167941745
142,train,0.1461571774895341
142,val,0.15486371197082383
143,train,0.14727619771805522
143,val,0.1477164807281009
144,train,0.1467319506482586
144,val,0.14242622358379536
145,train,0.14691364490977693
145,val,0.14760436672303417
146,train,0.14686204424583751
146,val,0.144075086147145
147,train,0.14423646648456265
147,val,0.14165828829562221
148,train,0.14597694324133156
148,val,0.14738362977902097
149,train,0.14497025581768191
149,val,0.15723635159708843
