epoch,split,loss
0,train,0.07104808567194805
0,val,0.031540721720352334
1,train,0.026677829937495963
1,val,0.023542089283632973
2,train,0.02194967226597575
2,val,0.02087717145360031
3,train,0.019560481561421428
3,val,0.01743955452875873
4,train,0.01786643957040946
4,val,0.016388966502568207
5,train,0.016862622145151406
5,val,0.01594229579602663
6,train,0.015719788368220453
6,val,0.015567736612400787
7,train,0.014880310090245485
7,val,0.013315763900252863
8,train,0.01425460078713071
8,val,0.013315294396144144
9,train,0.013594966772506024
9,val,0.012637139104616142
