epoch,split,loss
0,train,0.2501650086162721
0,val,0.19650176680750328
1,train,0.18819302732276855
1,val,0.17702315135134605
2,train,0.18118821071865476
2,val,0.16513091789351567
3,train,0.1777490654961983
3,val,0.17185428793783541
4,train,0.17375766217544678
4,val,0.15624569370238864
5,train,0.1696200512253995
5,val,0.156426336147167
6,train,0.1679483590379538
6,val,0.160461784016203
7,train,0.16329396822712622
7,val,0.15480069438064542
8,train,0.16195674544485417
8,val,0.14418370663015936
9,train,0.16548067406775951
9,val,0.15602687898057482
10,train,0.16562376608414758
10,val,0.15235318635348932
11,train,0.16331506744505178
11,val,0.14466402955629204
12,train,0.16050848478535007
12,val,0.14865837952605
13,train,0.16234386422757613
13,val,0.14754502620134094
14,train,0.15878686766071035
14,val,0.14306724868990753
15,train,0.15986539066302247
15,val,0.14325316752548564
16,train,0.15674475141340835
16,val,0.1424116282965298
17,train,0.16027132600655142
17,val,0.14424982854613558
18,train,0.15860549392439896
18,val,0.1454589745512715
19,train,0.1581478259764358
19,val,0.14025204425884621
20,train,0.15807285527916362
20,val,0.15333093090189837
21,train,0.15827505907007944
21,val,0.13897862732410432
22,train,0.1589836092387504
22,val,0.14482131702480489
23,train,0.16015614141683632
23,val,0.14107634069191086
24,train,0.15520274554619168
24,val,0.13990278829027106
25,train,0.15732957231773767
25,val,0.1427613506714502
26,train,0.157370347633794
26,val,0.1514907148701173
27,train,0.15662857006439704
27,val,0.13714903322634867
28,train,0.15640277575913156
28,val,0.14154323585055506
29,train,0.15896445816326435
29,val,0.13383691288806773
30,train,0.15678764912141843
30,val,0.13831986056433776
31,train,0.15706341881322058
31,val,0.1370526401395047
32,train,0.15669084584133885
32,val,0.1478993220737688
33,train,0.15537120864874285
33,val,0.13798348275875608
34,train,0.15317632469812156
34,val,0.13758091802398367
35,train,0.15579113893306484
35,val,0.13182413896752732
36,train,0.15406368888477537
36,val,0.13951358312258014
37,train,0.1556492771383111
37,val,0.14103635441925785
38,train,0.1555941056914279
38,val,0.13165349775442367
39,train,0.15257250693969013
39,val,0.13064823621125127
40,train,0.15612457027465898
40,val,0.14132457676309124
41,train,0.15241769109839817
41,val,0.13438789590641304
42,train,0.15188544428302123
42,val,0.13677453709145382
43,train,0.152817156351932
43,val,0.14392201748711086
44,train,0.15303453750478144
44,val,0.13850616800288362
45,train,0.15480628447636183
45,val,0.1499697069327037
46,train,0.15128345363777662
46,val,0.13154794802820247
47,train,0.1546525013651
47,val,0.1373900698566878
48,train,0.15307196960925337
48,val,0.13954400798236885
49,train,0.1542102152278508
49,val,0.13339609329899152
50,train,0.15142249777284839
50,val,0.14463710166789867
51,train,0.15069056503597633
51,val,0.13267601753274597
52,train,0.15439151183767796
52,val,0.13082196102650073
53,train,0.1508526767866122
53,val,0.14512696978118697
54,train,0.1499682623418399
54,val,0.14361941721980218
55,train,0.1510668576180279
55,val,0.13577986678315537
